Date,GRA Purchases,PRGT 1/2/,year,GDP Adjusted Totals
09/30/2022,91088136681,15386591496,2022,
12/31/2021,89474552025,14554823681,2021,98324530632
12/31/2020,93408630285,12481816684,2020,1.09471E+11
12/31/2019,66945509865,6590835450,2019,71662456553
12/31/2018,55395611392,6426181029,2018,59860379490
12/31/2017,39585385873,6522280669,2017,44600400527
12/31/2016,49267630851,6482647937,2016,54232371062
12/31/2015,50757840741,6575911158,2015,55620064695
12/31/2014,69041563463,6292755583,2014,73100428525
12/31/2013,83899249061,6174392682,2013,87603368628
12/31/2012,90042348252,5766292503,2012,93283310494
12/31/2011,87276915790,5308609594,2011,89609569864
12/31/2010,55620104510,4819344134,2010,57818933165
12/31/2009,37221142436,5079705286,2009,42869221542
12/31/2008,17514964723,3972372030,2008,21052312761
12/31/2007,6036146757,3796945581,2007,9411692544
12/31/2006,9822640239,3844020520,2006,13081120004
12/31/2005,28432143237,6282121668,2005,33365259982
12/31/2004,55373766674,6766029353,2004,59467583203
12/31/2003,65032062712,6880893268,2003,69716302284
12/31/2002,63601058794,6868671012,2002,68865908279
12/31/2001,53477225409,6424578684,2001,58729076488
12/31/2000,42990531049,6331595468,2000,47203945221
12/31/1999,51061861875,6434274362,1999,55539353591
12/31/1998,60451017051,6288825925,1998,64925632021
12/31/1997,46559033783,6009867422,1997,50593402919
12/31/1996,36127472805,5881609752,1996,40541191011
12/31/1995,35929173412,5657438528,1995,40339772893
12/31/1994,25611676952,4599768498,1994,29244464299
12/31/1993,25196745031,3942792899,1993,28621998549
12/31/1992,23967172718,3804463796,1992,27208397841
12/31/1991,23378573926,3285717796,1991,26280521594
12/31/1990,20731851093,2571911617,1990,22654011281
12/31/1989,22315104224,2334886562,1989,23758201835
12/31/1988,24750004884,1773964293,1988,25347788329
12/31/1987,28751979125,1866342930,1987,29516895826
12/31/1986,33334905644,2013169931,1986,34171323836
12/31/1985,35194787249,2470247948,1985,36321319598
12/31/1984,34936772393,2769874900,1984,36022345418
